accuracy,macro_f1,weighted_f1,per_class,confusion_matrix,threshold,feature_set,feature_count
1.0,1.0,1.0,"{'Permanent': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 17}, 'Non-permanent': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 4}}","[[17, 0], [0, 4]]",0.6499999999999999,structured_only,26
1.0,1.0,1.0,"{'Permanent': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 17}, 'Non-permanent': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 4}}","[[17, 0], [0, 4]]",0.6499999999999999,no_text,26
1.0,1.0,1.0,"{'Permanent': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 17}, 'Non-permanent': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 4}}","[[17, 0], [0, 4]]",0.7,no_categorical,23
0.9523809523809523,0.9142857142857143,0.9496598639455781,"{'Permanent': {'precision': 0.9444444444444444, 'recall': 1.0, 'f1': 0.9714285714285714, 'support': 17}, 'Non-permanent': {'precision': 1.0, 'recall': 0.75, 'f1': 0.8571428571428571, 'support': 4}}","[[17, 0], [1, 3]]",0.5499999999999999,all_features,28
0.8095238095238095,0.611111111111111,0.783068783068783,"{'Permanent': {'precision': 0.8421052631578947, 'recall': 0.9411764705882353, 'f1': 0.8888888888888888, 'support': 17}, 'Non-permanent': {'precision': 0.5, 'recall': 0.25, 'f1': 0.3333333333333333, 'support': 4}}","[[16, 1], [3, 1]]",0.6499999999999999,text_only,2
0.8095238095238095,0.4473684210526316,0.7243107769423559,"{'Permanent': {'precision': 0.8095238095238095, 'recall': 1.0, 'f1': 0.8947368421052632, 'support': 17}, 'Non-permanent': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 4}}","[[17, 0], [4, 0]]",0.3,no_numeric,7
