accuracy,macro_f1,weighted_f1,per_class,confusion_matrix,feature_set,feature_count
1.0,1.0,1.0,"{'ground-related': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 10}, 'operational-other': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 10}, 'transformer/internal': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}","[[10, 0, 0], [0, 10, 0], [0, 0, 0]]",all_features,28
1.0,1.0,1.0,"{'ground-related': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 10}, 'operational-other': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 10}, 'transformer/internal': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}","[[10, 0, 0], [0, 10, 0], [0, 0, 0]]",structured_only,26
1.0,1.0,1.0,"{'ground-related': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 10}, 'operational-other': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 10}, 'transformer/internal': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}","[[10, 0, 0], [0, 10, 0], [0, 0, 0]]",no_text,26
1.0,1.0,1.0,"{'ground-related': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 10}, 'operational-other': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'support': 10}, 'transformer/internal': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}","[[10, 0, 0], [0, 10, 0], [0, 0, 0]]",no_categorical,23
0.5,0.3333333333333333,0.5,"{'ground-related': {'precision': 1.0, 'recall': 0.2, 'f1': 0.3333333333333333, 'support': 10}, 'operational-other': {'precision': 0.5714285714285714, 'recall': 0.8, 'f1': 0.6666666666666666, 'support': 10}, 'transformer/internal': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}","[[2, 6, 2], [0, 8, 2], [0, 0, 0]]",no_numeric,7
0.4,0.2222222222222222,0.3333333333333333,"{'ground-related': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 10}, 'operational-other': {'precision': 0.5714285714285714, 'recall': 0.8, 'f1': 0.6666666666666666, 'support': 10}, 'transformer/internal': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}","[[0, 6, 4], [0, 8, 2], [0, 0, 0]]",text_only,2
